tweet_id,place_id
923325223478362112,{'place_id': '65246f89990cd015'}
923325206902517761,{'place_id': '8b9ec16fdc0d7e55'}
923325169602564096,{'place_id': 'e564d30dc173d2a8'}
923325145841840128,{'place_id': '0e428116fe291283'}
923325036068470785,{'place_id': '65246f89990cd015'}
923325017236045824,{'place_id': '9e901522888f8e99'}
923324995379621889,{'place_id': '9d7cae88ff6a29f5'}
923324932414738432,{'place_id': '65246f89990cd015'}
923324865922437120,{'place_id': 'e564d30dc173d2a8'}
923324863598727168,{'place_id': '810e12ec4af983de'}
923324855562522624,{'place_id': '10a589c27fc19a4c'}
923324803003625472,{'place_id': '25293a36a62a2233'}
923324789988708352,{'place_id': '65246f89990cd015'}
923324746745425921,{'place_id': '59efa64f5c8f5340'}
923324736574279680,{'place_id': '65246f89990cd015'}
923324592038596608,{'place_id': '25293a36a62a2233'}
923324558983225344,{'place_id': 'e564d30dc173d2a8'}
923324556756086785,{'place_id': '65246f89990cd015'}
923324546136059906,{'place_id': '9d7cae88ff6a29f5'}
923324499314999297,{'place_id': '25293a36a62a2233'}
923324477907271681,{'place_id': '0e428116fe291283'}
923324459653718016,{'place_id': '8b9ec16fdc0d7e55'}
923324409582161921,{'place_id': '0e428116fe291283'}
923324404611846144,{'place_id': '9e901522888f8e99'}
923324371191640064,{'place_id': '10a589c27fc19a4c'}
923324369631416322,{'place_id': '46c1b1ab24d7e11a'}
923324358306750464,{'place_id': '9d7cae88ff6a29f5'}
923324347539914752,{'place_id': '0e428116fe291283'}
923324333090529280,"{'place_id': 'e564d30dc173d2a8', 'coordinates': {'type': 'Point', 'coordinates': [28.06045532, -26.21659308]}}"
923324331156844545,"{'place_id': 'e564d30dc173d2a8', 'coordinates': {'type': 'Point', 'coordinates': [28.06045532, -26.21659308]}}"
923324328602562560,"{'place_id': 'e564d30dc173d2a8', 'coordinates': {'type': 'Point', 'coordinates': [28.06045532, -26.21659308]}}"
923324308650446848,{'place_id': 'e564d30dc173d2a8'}
923324247816187904,{'place_id': 'e564d30dc173d2a8'}
923324167558189059,{'place_id': '9e901522888f8e99'}
923324166346100736,{'place_id': '0e428116fe291283'}
923324114177265669,{'place_id': 'd73e8f8ebdd03aff'}
923324105037877250,{'place_id': '65246f89990cd015'}
923324066941014016,{'place_id': '3c3927904eaceaa2'}
923324032203808768,{'place_id': '65246f89990cd015'}
923324020765978624,{'place_id': 'e564d30dc173d2a8'}
923323987245092864,{'place_id': '9e901522888f8e99'}
923323912720699392,{'place_id': '0e587c59401d0a27'}
923323906018217985,{'place_id': '9e901522888f8e99'}
923323893967982594,{'place_id': '65246f89990cd015'}
923323872807661568,{'place_id': '0e587c59401d0a27'}
923323824896139264,{'place_id': '810e12ec4af983de'}
923323816453042176,{'place_id': '65246f89990cd015'}
923323815861637122,{'place_id': '1d9b85f4cd86b224'}
923323807397568514,{'place_id': 'e564d30dc173d2a8'}
923323801701617665,{'place_id': '0e428116fe291283'}
923323699129876481,{'place_id': '810e12ec4af983de'}
923323696550502401,{'place_id': '74a72b4ef7894eb4'}
923323682977714176,{'place_id': '810e12ec4af983de'}
923323673217466368,{'place_id': '65246f89990cd015'}
923323585262997504,{'place_id': '9ab8eb3a133c2d6a'}
923323566317359111,{'place_id': '65246f89990cd015'}
923323527155126273,{'place_id': 'f16913d3f6acb7f1'}
923323445433204737,{'place_id': '27b2c17b988dcc52'}
923323437791305730,{'place_id': '65246f89990cd015'}
923323402357821440,{'place_id': '9e901522888f8e99'}
923323394569003008,{'place_id': '59efa64f5c8f5340'}
923323328743559168,{'place_id': '65246f89990cd015'}
923323312729620480,{'place_id': '1744381d2805a216'}
923323265006931968,{'place_id': '65246f89990cd015'}
923323241757839360,{'place_id': '8b9ec16fdc0d7e55'}
923323192151891968,{'place_id': 'e564d30dc173d2a8'}
923323170106544130,{'place_id': '9e901522888f8e99'}
923323164062552064,{'place_id': '810e12ec4af983de'}
923323123591770112,{'place_id': '9e901522888f8e99'}
923323080327430144,{'place_id': '65246f89990cd015'}
923323037579169793,{'place_id': '0e587c59401d0a27'}
923323023406575618,{'place_id': '8b9ec16fdc0d7e55'}
923323017253539840,{'place_id': '8b9ec16fdc0d7e55'}
923322946642497536,{'place_id': 'e564d30dc173d2a8'}
923322921547902976,{'place_id': 'e564d30dc173d2a8'}
923322833761161218,{'place_id': '0e587c59401d0a27'}
923322796100513792,{'place_id': '9e901522888f8e99'}
923322765704392704,{'place_id': '0e428116fe291283'}
923322739636699137,{'place_id': '0e587c59401d0a27'}
923322730396700673,{'place_id': 'e564d30dc173d2a8'}
923322708296953857,{'place_id': 'a5ae1c819682f45c'}
923322633365712898,{'place_id': '810e12ec4af983de'}
923322609571368960,{'place_id': '27b2c17b988dcc52'}
923322582958596096,"{'place_id': 'e564d30dc173d2a8', 'coordinates': {'type': 'Point', 'coordinates': [28.03223848, -26.20800711]}}"
923322576331509761,{'place_id': 'e564d30dc173d2a8'}
923322571638165505,{'place_id': '59efa64f5c8f5340'}
923322483616382976,{'place_id': '0e428116fe291283'}
923322463773249537,{'place_id': '0e428116fe291283'}
923322435423883264,{'place_id': '810e12ec4af983de'}
923322412896342016,{'place_id': '0e428116fe291283'}
923322334618013697,{'place_id': '9e901522888f8e99'}
923322288791080961,{'place_id': '0e428116fe291283'}
923322285846605824,{'place_id': '1d9b85f4cd86b224'}
923322249570144256,{'place_id': '9e901522888f8e99'}
923322237838651394,{'place_id': '0e428116fe291283'}
923322201125916672,{'place_id': 'e564d30dc173d2a8'}
923322157668732929,{'place_id': '9e901522888f8e99'}
923322144595042304,{'place_id': 'e564d30dc173d2a8'}
923322127058481152,"{'place_id': '178a87b8e2eaa375', 'coordinates': {'type': 'Point', 'coordinates': [28.0569413, -26.10177024]}}"
923322107622252545,{'place_id': '59efa64f5c8f5340'}
923322092728315910,{'place_id': '46c1b1ab24d7e11a'}
923322046062280704,"{'place_id': 'd73e8f8ebdd03aff', 'coordinates': {'type': 'Point', 'coordinates': [28.0, -26.0]}}"
923321977519202304,{'place_id': '9e901522888f8e99'}
923321970174898176,{'place_id': '86b512ffe64a3389'}
923321960549044226,{'place_id': 'e564d30dc173d2a8'}
923321960003768320,{'place_id': '0e587c59401d0a27'}
923321915376316416,{'place_id': '3c3927904eaceaa2'}
923321849915863042,{'place_id': '65246f89990cd015'}
923321848984756224,{'place_id': '178a87b8e2eaa375'}
923321812213293058,{'place_id': 'e4e259b0eab4b283'}
923321787081023488,{'place_id': '0e587c59401d0a27'}
923321782165278720,{'place_id': '0e587c59401d0a27'}
923321766595964928,{'place_id': 'e564d30dc173d2a8'}
923321734455070721,"{'place_id': '9d7cae88ff6a29f5', 'coordinates': {'type': 'Point', 'coordinates': [31.05, -29.8833]}}"
923321623159214081,{'place_id': '0e587c59401d0a27'}
923321577600638976,{'place_id': '0e587c59401d0a27'}
923321505076924416,{'place_id': '810e12ec4af983de'}
923321427612270594,{'place_id': '0e428116fe291283'}
923321414278635520,{'place_id': '0e428116fe291283'}
923321359131926530,{'place_id': '86b512ffe64a3389'}
923321347962540034,{'place_id': '0e587c59401d0a27'}
923321226256248832,{'place_id': '9d7cae88ff6a29f5'}
923321223777460224,"{'place_id': '9d7cae88ff6a29f5', 'coordinates': {'type': 'Point', 'coordinates': [31.04, -29.86]}}"
923321130353610752,{'place_id': '46c1b1ab24d7e11a'}
923321125077209088,{'place_id': 'b743bd4031dd59a1'}
923321123302969345,{'place_id': '3c3927904eaceaa2'}
923321098825011200,{'place_id': '9e901522888f8e99'}
923321075617984512,{'place_id': '810e12ec4af983de'}
923321075475320832,{'place_id': 'e564d30dc173d2a8'}
923321018436997120,{'place_id': 'e564d30dc173d2a8'}
923320967547387904,{'place_id': '0e428116fe291283'}
923320944696930310,{'place_id': 'e564d30dc173d2a8'}
923320925868699648,{'place_id': '0e587c59401d0a27'}
923320914384703489,{'place_id': 'e564d30dc173d2a8'}
923320909469028353,{'place_id': '0e428116fe291283'}
923320874501107718,{'place_id': '9cb62cf35dcf392d'}
923320864850042880,{'place_id': 'f16913d3f6acb7f1'}
923320855626768384,{'place_id': '810e12ec4af983de'}
923320828468527104,{'place_id': '27b2c17b988dcc52'}
923320806838501376,{'place_id': 'd73e8f8ebdd03aff'}
923320758671237120,{'place_id': 'e564d30dc173d2a8'}
923320627003580417,{'place_id': '0e428116fe291283'}
923320610373107712,{'place_id': '810e12ec4af983de'}
923320609232375808,{'place_id': '27b2c17b988dcc52'}
923320588822773761,{'place_id': 'e564d30dc173d2a8'}
923320520841551873,{'place_id': '1b1067d583d61a5b'}
923320510892650497,{'place_id': '9e901522888f8e99'}
923320385524916226,{'place_id': '27b2c17b988dcc52'}
923320337026158593,{'place_id': '8b9ec16fdc0d7e55'}
923320329832927233,{'place_id': '9e901522888f8e99'}
923320314343448577,{'place_id': '74a72b4ef7894eb4'}
923320313907212288,{'place_id': 'e564d30dc173d2a8'}
923320296786026496,{'place_id': '0e587c59401d0a27'}
923320261449080832,{'place_id': 'e564d30dc173d2a8'}
923320199226335232,"{'place_id': 'bd210e7d725d1bb4', 'coordinates': {'type': 'Point', 'coordinates': [22.80432, -34.01812]}}"
923320197116825601,{'place_id': '42dfd07e3a20e0ee'}
923320169006551040,{'place_id': 'd98aef293ae7311d'}
923320096365383681,{'place_id': 'e564d30dc173d2a8'}
923320091953061888,{'place_id': 'e564d30dc173d2a8'}
923320087980978179,{'place_id': 'e564d30dc173d2a8'}
923320087838420994,{'place_id': '0e428116fe291283'}
923320058230837248,{'place_id': '9e901522888f8e99'}
923319999028178944,{'place_id': '9e901522888f8e99'}
923319957911457792,{'place_id': 'e564d30dc173d2a8'}
923319946880471041,{'place_id': '5ccdc4a6f900a93f'}
923319923857920002,{'place_id': 'e564d30dc173d2a8'}
923319882367864833,{'place_id': 'e564d30dc173d2a8'}
923319758811955200,{'place_id': 'e564d30dc173d2a8'}
923319716726353921,{'place_id': '74a72b4ef7894eb4'}
923319707675119621,{'place_id': '0e428116fe291283'}
923319651307802624,{'place_id': '1465fdb4074020c2'}
923319593581662208,{'place_id': 'da5fde1ba8cf627c'}
923319557472837637,{'place_id': '0e587c59401d0a27'}
923319511536799744,{'place_id': '3c3927904eaceaa2'}
923319476375912448,{'place_id': '8b9ec16fdc0d7e55'}
923319448727183360,{'place_id': '65246f89990cd015'}
923319317760012288,{'place_id': 'd73e8f8ebdd03aff'}
923319273661128706,{'place_id': '0e428116fe291283'}
923319210352300033,{'place_id': '46c1b1ab24d7e11a'}
923319199480602625,{'place_id': 'cc95b56a28712044'}
923319172372844550,{'place_id': '8b9ec16fdc0d7e55'}
923319133441331201,{'place_id': 'da5fde1ba8cf627c'}
923319114332082176,{'place_id': '9d7cae88ff6a29f5'}
923319087090077696,{'place_id': '8b9ec16fdc0d7e55'}
923319081285152770,{'place_id': '0e428116fe291283'}
923319069813690368,{'place_id': '0e428116fe291283'}
923319042194202624,{'place_id': '0e587c59401d0a27'}
923319037005828097,{'place_id': '65246f89990cd015'}
923318991975866368,{'place_id': '86b512ffe64a3389'}
923318981611704320,{'place_id': '0e587c59401d0a27'}
923318912980324352,{'place_id': '178a87b8e2eaa375'}
923318897184567296,{'place_id': 'd73e8f8ebdd03aff'}
923318880092684288,{'place_id': '74a72b4ef7894eb4'}
923318798534496257,{'place_id': '9d7cae88ff6a29f5'}
923318797632667650,{'place_id': '8b9ec16fdc0d7e55'}
923318775461699586,{'place_id': '0e428116fe291283'}
923318762916466688,{'place_id': '0e428116fe291283'}
923318738681769984,{'place_id': '8b9ec16fdc0d7e55'}
923318653826846720,{'place_id': '86b512ffe64a3389'}
923318643802419205,{'place_id': '0e428116fe291283'}
923318618896715781,{'place_id': 'd73e8f8ebdd03aff'}
923318613255344131,{'place_id': 'da5fde1ba8cf627c'}
923318594414546944,{'place_id': '8b9ec16fdc0d7e55'}
923318567340265472,{'place_id': '178a87b8e2eaa375'}
923318520057823233,{'place_id': '27b2c17b988dcc52'}
923318506900344832,{'place_id': '0e587c59401d0a27'}
923318466559578118,{'place_id': '8b9ec16fdc0d7e55'}
923318452840030208,{'place_id': 'e564d30dc173d2a8'}
923318341896474633,{'place_id': '86b512ffe64a3389'}
923318338532585472,{'place_id': '1465fdb4074020c2'}
923318327279316992,{'place_id': '0e428116fe291283'}
923318299752124417,{'place_id': '810e12ec4af983de'}
923318233465225216,{'place_id': '9e901522888f8e99'}
923318219385040896,{'place_id': '810e12ec4af983de'}
923318193338355712,{'place_id': '86b512ffe64a3389'}
923318193300672514,{'place_id': 'e564d30dc173d2a8'}
923318186715631616,{'place_id': '7efc470da463c9f0'}
923318152536166406,"{'place_id': 'b743bd4031dd59a1', 'coordinates': {'type': 'Point', 'coordinates': [18.81366058, -34.09081437]}}"
923318142012723200,{'place_id': 'e564d30dc173d2a8'}
923318132286074884,{'place_id': '0e428116fe291283'}
923318127529775104,{'place_id': '0e428116fe291283'}
923318103798411264,{'place_id': '0e428116fe291283'}
923318095577604096,{'place_id': 'c257bb97f95ba4c8'}
923318037624905729,{'place_id': '9e901522888f8e99'}
923318032361025537,{'place_id': '0e587c59401d0a27'}
923317962571964416,{'place_id': '0e587c59401d0a27'}
923317955047325698,{'place_id': '0e587c59401d0a27'}
923317954539933696,{'place_id': '0e428116fe291283'}
923317943160754176,{'place_id': '9d7cae88ff6a29f5'}
923317891717648384,{'place_id': '810e12ec4af983de'}
923317857471131649,{'place_id': '9e901522888f8e99'}
923317773471805440,{'place_id': '0e428116fe291283'}
923317743683850246,"{'coordinates': {'type': 'Point', 'coordinates': [28.0569413, -26.10177024]}, 'place_id': '178a87b8e2eaa375'}"
923317722376794112,{'place_id': '3c3927904eaceaa2'}
923317700138557440,{'place_id': '9e901522888f8e99'}
923317652885594113,{'place_id': 'd73e8f8ebdd03aff'}
923317626113282049,{'place_id': '9e901522888f8e99'}
