,text,Date,geometry,author_followers,retweets,replies,likes,quote_count,Subjectivity,Polarity,Analysis,Place0,Place1,Place2,Place3
1024,My high school teacher used to say that https://t.co/YOKjiBDPo6,2017-10-17,POINT (18.4961166 -33.8234111),15976,0,0,0,0,0.4444444444444444,0.25,Positive,Western Cape,City of Cape Town,City of Cape Town,113
1025,Back in high school my Bunisess economics teacher used to call us ....Loose canon #CabinetReshuffle,2017-10-17,POINT (30.97257945 -29.9006358),336,0,0,0,0,0.0,0.0,Neutral,KwaZulu-Natal,eThekwini,eThekwini,64
1026,"In this Wits SRC election people should know who they are voting for and why they are voting for them, don't just catch the wave🙃",2017-10-17,POINT (27.968098050000002 -26.276138500000002),4855,5,0,3,1,0.0,0.0,Neutral,Gauteng,City of Johannesburg,City of Johannesburg,125
1027,"Thank you, Windmeul Primary School for having us today. That was an eye-opener. I'm deeply grateful. #education #windmeul #southafrica https://t.co/7Gq4AIYFmb",2017-10-17,POINT (18.4241 -33.9249),102,0,0,1,0,0.5,0.0,Neutral,Western Cape,City of Cape Town,City of Cape Town,115
1028,#KingArthur #LegendoftheSword ... on repeat. Humour and #action at #pace. Gather your wits #guyrichie #gamechanging #camera work 👏,2017-10-17,POINT (18.6612737 -33.836176249999994),155,0,0,0,0,0.6476190476190476,0.3017113095238095,Positive,Western Cape,City of Cape Town,City of Cape Town,112
1029,To remove this bible education is a big mistake is like taking out God himself from school https://t.co/zndQbTKq3a,2017-10-17,POINT (27.875271750000007 -26.2564214),171,1,0,4,0,0.4208333333333333,0.225,Positive,Gauteng,City of Johannesburg,City of Johannesburg,37
1030,Incredible design for education! #tech #coding #education #computerkit #diy https://t.co/Xd5z2a0mQF,2017-10-17,POINT (18.83334435 -33.928147949999996),2000,0,0,2,0,0.0,0.0,Neutral,Western Cape,Cape Winelands,Stellenbosch,11
1031,"“Nine tenths of education is encouragement.”
Anatole F. Congrats to all the #DiepslootCombined school students who received prizes today! https://t.co/vDpRhO73hA",2017-10-17,POINT (28.01847 -25.9361566),460,0,0,1,0,0.6181818181818182,0.1454545454545454,Positive,Gauteng,City of Johannesburg,City of Johannesburg,113
1032,Our future is bright! #DiepslootCombined school students are making history! #Higherpassrates #education #TheBigStory #leadership #IbbamoSA https://t.co/xbSlG4OuG6,2017-10-17,POINT (28.01847 -25.9361566),460,0,0,0,0,0.0,0.0,Neutral,Gauteng,City of Johannesburg,City of Johannesburg,113
1033,We are at the Diepsloot Combined School prize giving day! The future of Africa is in our hands #IbbamoSA #Chooseday #education https://t.co/40uc4GY7eE,2017-10-17,POINT (28.01847 -25.9361566),460,1,0,2,0,0.95,-0.575,Negative,Gauteng,City of Johannesburg,City of Johannesburg,113
