,data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
9353,7523021,710,SAF8231,8231,2016-10-11,2016,1,Riots,Violent demonstration,Rioters (South Africa),#FeesMustFall; Students (South Africa),5,Police Forces of South Africa (1994-),,1,15,Southern Africa,South Africa,Western Cape,City of Cape Town,City of Cape Town,Cape Town - Mowbray,-33.9333,18.4667,1,GroundUp,National,"Tensions at the Cape Peninsula University of Technology (CPUT) campuses reached boiling point, with police firing stun grenades, tear-gas and rubber bullets at stone-throwing protesters. Twelve arrests were made at the Bellville campus, three at the Cape Town campus and another four at the Mowbray campus.",0,1611019297,ZAF
9354,7525054,710,SAF8227,8227,2016-10-11,2016,1,Riots,Violent demonstration,Rioters (South Africa),#FeesMustFall; Students (South Africa),5,Police Forces of South Africa (1994-),,1,15,Southern Africa,South Africa,Gauteng,City of Johannesburg,City of Johannesburg,Johannesburg - Braamfontein,-26.1982,28.0219,1,News24 (South Africa),National,"Skirmishes between police and students continued throughout the day at Wits University. Police fired stun grenades and rubber bullets at students after protesters pelted stones at campus security guards stationed outside the Great Hall.At Wits University, the John Moffet Architecture Building was targeted in an arson attack.",0,1611019302,ZAF
9355,8009285,710,SAF8229,8229,2016-10-11,2016,1,Protests,Peaceful protest,Protesters (South Africa),#FeesMustFall; Students (South Africa),6,,,0,60,Southern Africa,South Africa,KwaZulu-Natal,eThekwini,eThekwini,Durban,-29.8579,31.0292,1,Mercury (South Africa),National,More than 1 000 university students from across KwaZulu-Natal joined a #FeesMustFall march to Durbans City Hall.,0,1622068027,ZAF
9357,8559495,710,SAF8230,8230,2016-10-11,2016,1,Protests,Peaceful protest,Protesters (South Africa),#FeesMustFall; Students (South Africa),6,,,0,60,Southern Africa,South Africa,Eastern Cape,Amathole,Raymond Mhlaba,University of Fort Hare,-32.7831,26.8433,1,GroundUp,National,Students at the University of Fort Hare University disrupted a meeting between parents and management.,0,1632244575,ZAF
9358,6232827,710,SAF8223,8223,2016-10-10,2016,1,Riots,Violent demonstration,Rioters (South Africa),#FeesMustFall; Students (South Africa),5,Police Forces of South Africa (1994-),Private Security Forces (South Africa),1,15,Southern Africa,South Africa,Western Cape,Cape Winelands,Stellenbosch,Stellenbosch,-33.9346,18.8668,1,Herald (South Africa); GroundUp,National,There were also student protests at the University of Pretoria and Stellenbosch University. Student protesters of the Fees Must Fall movement at Stellenbosch University clashed with police and private security. A protester argues with police after pepper spray had been used on protesters.,0,1572403612,ZAF
9359,6269133,710,SAF8222,8222,2016-10-10,2016,1,Protests,Peaceful protest,Protesters (South Africa),#FeesMustFall; Students (South Africa),6,,,0,60,Southern Africa,South Africa,Gauteng,City of Tshwane,City of Tshwane,Pretoria,-25.7449,28.1878,1,Herald (South Africa),National,There were also student protests at the University of Pretoria and Stellenbosch University.,0,1572403720,ZAF
9360,7210181,710,SAF8215,8215,2016-10-10,2016,1,Protests,Protest with intervention,Protesters (South Africa),#FeesMustFall; Students (South Africa),6,Private Security Forces (South Africa),,8,68,Southern Africa,South Africa,Free State,Mangaung,Mangaung,Bloemfontein,-29.1333,26.2,1,Cape Times; News24 (South Africa),National,The University of the Free State remained open despite protests by some students. Security used paintball guns to disperse the protesting group outside computer labs at the universities main campus.,0,1600121117,ZAF
9361,7520333,710,SAF8217,8217,2016-10-10,2016,1,Riots,Violent demonstration,Rioters (South Africa),#FeesMustFall; Students (South Africa),5,Police Forces of South Africa (1994-),,1,15,Southern Africa,South Africa,Gauteng,City of Johannesburg,City of Johannesburg,Johannesburg - Braamfontein,-26.1982,28.0219,1,Al Jazeera,Regional,"Hundreds of students demanding free education have clashed with police in renewed violence at Wits University in Johannesburg. Police used tear gas, rubber bullets, stun grenades and water cannon on Monday to disperse stone-throwing protesters at Witwatersrand University.",0,1611019289,ZAF
9363,7521603,710,SAF8214,8214,2016-10-10,2016,1,Protests,Peaceful protest,Protesters (South Africa),#FeesMustFall; Students (South Africa),6,,,0,60,Southern Africa,South Africa,Western Cape,City of Cape Town,City of Cape Town,Cape Town - Bellville,-33.9,18.6333,1,Cape Argus,Subnational,UWC said it had suspended on-campus operations for the rest of the week because of ongoing disruptions and protests.,0,1611019292,ZAF
9365,8009287,710,SAF8224,8224,2016-10-10,2016,1,Riots,Violent demonstration,Rioters (South Africa),#FeesMustFall; Students (South Africa),5,Police Forces of South Africa (1994-),,1,15,Southern Africa,South Africa,KwaZulu-Natal,eThekwini,eThekwini,Westville,-29.8333,30.9333,1,Cape Times,National,"At UKZN Westville campus, student protesters hurled bottles and bricks at police, who responded by firing tear gas.",0,1622068027,ZAF
