place_id,place_name,coords,geometry
{'place_id': 'cb6c20eb19035275'},"Mokopane, South Africa","[28.9612026, -24.2405492, 29.0595853, -24.1234446]",POINT (29.01039395 -24.1819969)
{'place_id': '4ec9da6f844e59df'},"Krugersdorp, South Africa","[27.6133572, -26.1811025, 27.8401902, -26.0231441]",POINT (27.7267737 -26.102123300000002)
"{'place_id': '8b9ec16fdc0d7e55', 'coordinates': {'type': 'Point', 'coordinates': [18.42588571, -33.93031327]}}","Cape Town, South Africa","[18.3180332, -34.35839, 18.6600898, -33.8849254]",POINT (18.4241 -33.9249)
"{'place_id': '178a87b8e2eaa375', 'coordinates': {'type': 'Point', 'coordinates': [28.05355493, -26.10744678]}}","Sandton, South Africa","[27.9829939, -26.1362658, 28.1382322, -25.9811502]",POINT (28.06061305 -26.058708)
{'place_id': 'd3d46bdc072ad347'},"Vryburg, South Africa","[24.6565185, -27.0016931, 24.7703747, -26.894228]",POINT (24.7134466 -26.947960549999994)
{'place_id': '5ba303106cd8612c'},"Franschhoek, South Africa","[18.9315433, -33.9879379, 19.1987839, -33.8388558]",POINT (19.065163599999998 -33.91339685)
{'place_id': 'a8bb86295be7f9a9'},"Kwa-Mashu, South Africa","[30.9493659, -29.7637775, 31.031045, -29.7131172]",POINT (30.990205449999998 -29.73844735)
{'place_id': 'd2d1ab2169e801e5'},"Marburg, South Africa","[30.3937572, -30.7567472, 30.4369356, -30.7248541]",POINT (30.4153464 -30.74080065)
{'place_id': 'dfc037f64a373ac8'},"Kagiso, South Africa","[27.759883, -26.1820597, 27.8211823, -26.1369441]",POINT (27.790532649999996 -26.159501900000002)
{'place_id': '07d9f5fb6b885002'},Sun City Entertainment Centre,"[27.097138764741004, -25.345853543879315, 27.097138764741004, -25.345853543879315]",POINT (27.097138764741004 -25.345853543879315)
{'place_id': 'fb7efcf891f606b2'},"Empangeni, South Africa","[31.8698973, -28.7841263, 31.919005, -28.7336441]",POINT (31.894451150000002 -28.7588852)
{'place_id': '88cf231591416b11'},"Mdantsane, South Africa","[27.6375413, -33.0043221, 27.790976, -32.9156233]",POINT (27.71425865 -32.9599727)
{'place_id': 'b5af48116ab90540'},"Clayville, South Africa","[28.1663732, -25.9854046, 28.2634997, -25.9034091]",POINT (28.21493645 -25.94440685)
{'place_id': '88b1c3409e051765'},"Musina, South Africa","[30.0041885, -22.3633671, 30.062655, -22.3254089]",POINT (30.033421750000006 -22.344388000000002)
"{'place_id': '9d7cae88ff6a29f5', 'coordinates': {'type': 'Point', 'coordinates': [31.03127506, -29.74879624]}}","Durban, South Africa","[30.8789097, -30.055938, 31.0662492, -29.7453336]",POINT (30.97257945 -29.9006358)
{'place_id': 'fd9a28a596628acd'},"Onverwacht, South Africa","[27.6639297, -23.7030242, 27.7142161, -23.6710316]",POINT (27.6890729 -23.6870279)
{'place_id': '07d9ecbc30883000'},Union Buildings,"[28.21153436285682, -25.741604549738458, 28.21153436285682, -25.741604549738458]",POINT (28.21153436285682 -25.741604549738458)
{'place_id': 'ecf0c0a7599cab6e'},"Secunda, South Africa","[29.0816835, -26.5807414, 29.2397851, -26.4389444]",POINT (29.1607343 -26.509842900000002)
{'place_id': '70a79cbe50cdf9bb'},"Temba, South Africa","[28.2178141, -25.4232692, 28.3003498, -25.33808]",POINT (28.25908195 -25.3806746)
{'place_id': 'b743bd4031dd59a1'},"Somerset West, South Africa","[18.7154438, -34.2703306, 18.980373, -33.9999679]",POINT (18.8479084 -34.13514925)
{'place_id': '48e771aa07be41b1'},"White River, South Africa","[30.9909745, -25.3619366, 31.0617332, -25.2810032]",POINT (31.02635385 -25.3214699)
{'place_id': 'd87ac30c37566a31'},"Giyani, South Africa","[30.6721401, -23.3299179, 30.7524893, -23.2826978]",POINT (30.7123147 -23.306307850000003)
{'place_id': '3ac88b980d02b323'},"Stanger, South Africa","[31.2034057, -29.4455852, 31.3087978, -29.3031501]",POINT (31.25610175 -29.374367650000003)
{'place_id': '0dccaa79ac4962a4'},"Virginia, South Africa","[26.7710991, -28.1625176, 26.9104615, -28.0299912]",POINT (26.8407803 -28.096254399999996)
{'place_id': 'af5ad75457a60467'},"Daveyton, South Africa","[28.3965681, -26.1665683, 28.4532364, -26.1160429]",POINT (28.424902250000002 -26.141305600000003)
