,data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
9492,7522229,710,SAF8092,8092,2016-09-13,2016,1,Protests,Peaceful protest,Protesters (South Africa),Students (South Africa),6,,,0,60,Southern Africa,South Africa,Western Cape,City of Cape Town,City of Cape Town,Cape Town - Woodstock,-33.9167,18.4333,1,Daily Vox (South Africa),National,Cops were called out to a high school (Woodstock) after about 200 learners protested against alleged racism and favouritism over drug tests at their school.,0,1611019295,ZAF
9495,5300227,710,SAF8089,8089,2016-09-12,2016,1,Protests,Peaceful protest,Protesters (South Africa),Students (South Africa),6,,,0,60,Southern Africa,South Africa,Western Cape,Cape Winelands,Stellenbosch,Stellenbosch,-33.9346,18.8668,1,News24 (South Africa),National,Students at Stellenbosch University (SU) have staged a sit-in at the JS Gericke Library. The sit-in began on Monday and was still ongoing late on Wednesday evening.,0,1561469250,ZAF
9496,8553772,710,SAF8087,8087,2016-09-10,2016,1,Riots,Violent demonstration,Rioters (South Africa),Students (South Africa),5,,,0,50,Southern Africa,South Africa,Eastern Cape,O.R.Tambo,King Sabata Dalindyebo,Mthatha,-31.5889,28.7844,1,GroundUp,National,Pupils at Qunu Junior Secondary School broke windows and burned down a storeroom and kitchen on the weekend.,0,1632239612,ZAF
9498,4792935,710,SAF8081,8081,2016-09-09,2016,1,Protests,Peaceful protest,Protesters (South Africa),Students (South Africa),6,,,0,60,Southern Africa,South Africa,Western Cape,City of Cape Town,City of Cape Town,Cape Town,-33.9253,18.4239,1,GroundUp,National,Over a hundred students from Bulumko and Joe Slovo Secondary schools protested outside the Western Cape Department of Education (WCED) offices.,0,1552577180,ZAF
9500,7522961,710,SAF8085,8085,2016-09-09,2016,1,Protests,Peaceful protest,Protesters (South Africa),Students (South Africa),6,,,0,60,Southern Africa,South Africa,Western Cape,City of Cape Town,City of Cape Town,Cape Town - Rondebosch,-33.9633,18.4764,1,GroundUp,National,Two student managed to blockade the University of Cape Town (UCT) and stop the Jammie Shuttle service from running. The mini-protest called for the university to listen to complaints by students and insourced workers.,0,1611019297,ZAF
9501,8009317,710,SAF8083,8083,2016-09-09,2016,1,Riots,Violent demonstration,Rioters (South Africa),Students (South Africa),5,,,0,50,Southern Africa,South Africa,KwaZulu-Natal,eThekwini,eThekwini,Durban,-29.8579,31.0292,1,Daily News (South Africa),National,Firefighters were pelted with stones by angry protesters when they arrived to put out a fire at the Durban University of Technology's Steve Biko campus.,0,1622068027,ZAF
9502,8009318,710,SAF8084,8084,2016-09-09,2016,1,Protests,Protest with intervention,Protesters (South Africa),Students (South Africa),6,Police Forces of South Africa (1994-),,1,16,Southern Africa,South Africa,KwaZulu-Natal,Umgungundlovu,The Msunduzi,Pietermaritzburg,-29.6167,30.3833,1,African News Agency,National,"A school boy was shot in the mouth in Pietermaritzburg with a rubber bullet, after police fired rubber bullets at angry residents protesting over water shortages.",0,1622068027,ZAF
9503,4793022,710,SAF8078,8078,2016-09-08,2016,1,Riots,Violent demonstration,Rioters (South Africa),Students (South Africa),5,,,0,50,Southern Africa,South Africa,Eastern Cape,Amathole,Mbhashe,Elliotdale,-31.9667,28.6824,1,GroundUp,National,"A similar incident of violence at Ntabozuko Campus in Elliotdale, students set alight two residences forcing students to evacuate.",0,1552577180,ZAF
9506,8553778,710,SAF8079,8079,2016-09-08,2016,1,Riots,Violent demonstration,Rioters (South Africa),Students (South Africa),5,Police Forces of South Africa (1994-),,1,15,Southern Africa,South Africa,Eastern Cape,O.R.Tambo,King Sabata Dalindyebo,Mthatha,-31.5889,28.7844,1,GroundUp,National,"Student residences were set alight at two King Sabatha Dalindyebo Technical and Vocational Training campuses. Police used rubber bullets to disperse a group of over 100 students at KSD college, Zimbane campus in Mthatha",0,1632239612,ZAF
9507,5300216,710,SAF8070,8070,2016-09-07,2016,1,Protests,Peaceful protest,Protesters (South Africa),Students (South Africa),6,,,0,60,Southern Africa,South Africa,Western Cape,City of Cape Town,City of Cape Town,Cape Town,-33.9253,18.4239,1,News24 (South Africa),National,"In protests, high school pupils travelled from Khayelitsha to the Cape Town CBD in a bid to engage the Western Cape education department about a R5 penalty pupils are charged for late-coming, which resulted in a riot at Joe Slovo High School on Tuesday.",0,1561469250,ZAF
